"Date","Price","Open","High","Low","Vol.","Change %"
"01/22/2024","2.830","2.670","2.850","2.650","3.29M","8.02%"
"01/19/2024","2.620","2.600","2.625","2.550","1.88M","1.16%"
"01/18/2024","2.590","2.630","2.645","2.555","2.69M","-0.38%"
"01/17/2024","2.600","2.720","2.740","2.600","4.98M","-5.80%"
"01/16/2024","2.760","2.980","2.990","2.750","4.17M","-6.44%"
"01/12/2024","2.950","3.020","3.060","2.880","2.04M","1.03%"
"01/11/2024","2.920","2.930","2.960","2.880","1.82M","0.34%"
"01/10/2024","2.910","2.990","2.990","2.890","2.40M","-1.69%"
"01/09/2024","2.960","3.080","3.095","2.960","2.30M","-3.90%"
"01/08/2024","3.080","3.100","3.110","3.040","2.29M","-3.14%"
"01/05/2024","3.180","3.170","3.201","3.130","2.27M","1.60%"
"01/04/2024","3.130","3.320","3.340","3.130","2.74M","-5.44%"
"01/03/2024","3.310","3.260","3.340","3.200","1.89M","2.16%"
"01/02/2024","3.240","3.300","3.360","3.230","2.26M","-0.61%"
"12/29/2023","3.260","3.340","3.340","3.230","2.07M","-2.10%"
"12/28/2023","3.330","3.370","3.385","3.310","1.61M","-1.77%"
"12/27/2023","3.390","3.420","3.440","3.360","1.68M","-0.59%"
"12/26/2023","3.410","3.360","3.420","3.320","2.05M","3.02%"
"12/22/2023","3.310","3.350","3.380","3.290","2.10M","0.00%"
"12/21/2023","3.310","3.210","3.320","3.210","1.90M","3.12%"
"12/20/2023","3.210","3.280","3.310","3.190","2.18M","-1.83%"
"12/19/2023","3.270","3.250","3.282","3.180","2.32M","0.62%"
"12/18/2023","3.250","3.330","3.410","3.240","2.87M","-0.31%"
"12/15/2023","3.260","3.320","3.350","3.190","7.15M","-1.51%"
"12/14/2023","3.310","3.170","3.330","3.170","3.73M","6.77%"
"12/13/2023","3.100","2.950","3.110","2.900","5.35M","5.44%"
"12/12/2023","2.940","3.020","3.045","2.855","4.45M","-4.23%"
"12/11/2023","3.070","3.180","3.210","3.050","3.18M","-3.76%"
"12/08/2023","3.190","3.200","3.250","3.150","2.53M","0.63%"
"12/07/2023","3.170","3.300","3.340","3.159","3.82M","-2.76%"
"12/06/2023","3.260","3.140","3.300","3.130","3.82M","1.56%"
"12/05/2023","3.210","3.300","3.310","3.200","3.43M","-2.13%"
"12/04/2023","3.280","3.310","3.365","3.250","2.12M","-0.91%"
"12/01/2023","3.310","3.340","3.440","3.310","2.16M","-0.90%"
"11/30/2023","3.340","3.480","3.550","3.340","3.23M","-2.62%"
"11/29/2023","3.430","3.320","3.470","3.320","2.63M","3.63%"
"11/28/2023","3.310","3.290","3.360","3.250","3.11M","0.30%"
"11/27/2023","3.300","3.370","3.370","3.280","3.23M","-3.23%"
"11/24/2023","3.410","3.460","3.550","3.410","1.55M","-1.73%"
"11/22/2023","3.470","3.350","3.480","3.310","2.45M","0.29%"
"11/21/2023","3.460","3.570","3.580","3.445","4.05M","-4.42%"
"11/20/2023","3.620","3.740","3.748","3.610","2.30M","-2.43%"
"11/17/2023","3.710","3.700","3.750","3.670","2.69M","1.92%"
"11/16/2023","3.640","3.720","3.730","3.530","4.68M","-2.93%"
"11/15/2023","3.750","3.810","3.918","3.750","2.71M","-2.60%"
"11/14/2023","3.850","3.860","3.870","3.800","2.35M","1.32%"
"11/13/2023","3.800","3.760","3.820","3.735","1.66M","1.33%"
"11/10/2023","3.750","3.770","3.830","3.700","2.73M","0.54%"
